DATUM;OPEN;HIGH;LOW;KOERS
2018-03-19;709.7;;;709.70000
2018-03-20;713.22;;;713.22000
2018-03-21;712.74;;;712.74000
2018-03-22;698.77;;;698.77000
2018-03-23;683.64;;;683.64000
2018-03-26;689.63;;;689.63000
2018-03-27;688.42;;;688.42000
2018-03-28;688.61;;;688.61000
2018-03-29;697.36;;;697.36000
2018-04-03;693.18;;;693.18000
2018-04-04;695.82;;;695.82000
2018-04-05;706.46;;;706.46000
2018-04-06;695.67;;;695.67000
2018-04-09;695.82;;;695.82000
2018-04-10;703.06;;;703.06000
2018-04-11;698.52;;;698.52000
2018-04-12;705.1;;;705.10000
2018-04-13;704.02;;;704.02000
2018-04-16;705.43;;;705.43000
2018-04-17;712;;;712.00000
2018-04-18;712.72;;;712.72000
2018-04-19;710.91;;;710.91000
2018-04-20;710.51;;;710.51000
2018-04-23;712.94;;;712.94000
2018-04-24;708.36;;;708.36000
2018-04-25;709.1;;;709.10000
2018-04-26;717.98;;;717.98000
2018-04-27;720.12;;;720.12000
2018-04-30;718.17;;;718.17000
2018-05-02;722.18;;;722.18000
2018-05-03;721.01;;;721.01000
2018-05-04;728.39;;;728.39000
2018-05-07;732.03;;;732.03000
2018-05-08;735.11;;;735.11000
2018-05-09;739.92;;;739.92000
2018-05-10;743.36;;;743.36000
2018-05-11;742.72;;;742.72000
2018-05-14;742.59;;;742.59000
2018-05-15;743.62;;;743.62000
2018-05-16;749.4;;;749.40000
2018-05-17;750.19;;;750.19000
2018-05-18;750.21;;;750.21000
2018-05-21;754.82;;;754.82000
2018-05-22;752.91;;;752.91000
2018-05-23;755.23;;;755.23000
2018-05-24;752.26;;;752.26000
2018-05-25;754.37;;;754.37000
2018-05-28;755.23;;;755.23000
2018-05-29;750.34;;;750.34000
2018-05-30;753.04;;;753.04000
2018-05-31;746.67;;;746.67000
2018-06-01;752.8;;;752.80000
2018-06-04;755.39;;;755.39000
2018-06-05;756.19;;;756.19000
2018-06-06;755.13;;;755.13000
2018-06-07;752.8;;;752.80000
2018-06-08;756.6;;;756.60000
2018-06-11;756.33;;;756.33000
2018-06-12;758.03;;;758.03000
2018-06-13;757.2;;;757.20000
2018-06-14;765.8;;;765.80000
2018-06-15;765.07;;;765.07000
2018-06-18;762.02;;;762.02000
2018-06-19;759.91;;;759.91000
2018-06-20;761.25;;;761.25000
2018-06-21;755.39;;;755.39000
2018-06-22;756.49;;;756.49000
2018-06-25;743.23;;;743.23000
2018-06-26;745.46;;;745.46000
2018-06-27;745.67;;;745.67000
2018-06-28;747.83;;;747.83000
2018-06-29;745.26;;;745.26000
2018-07-02;746.67;;;746.67000
2018-07-03;744.09;;;744.09000
2018-07-04;744.45;;;744.45000
2018-07-05;745.5;;;745.50000
2018-07-06;748.24;;;748.24000
2018-07-09;754.35;;;754.35000
2018-07-10;758.33;;;758.33000
2018-07-11;751.7;;;751.70000
2018-07-12;759.05;;;759.05000
2018-07-13;761.71;;;761.71000
2018-07-16;758.72;;;758.72000
